Date,NAV (CAD),Market price (CAD)
Aug 26 2024,$134.5715,$134.5500
Aug 23 2024,$135.1437,$135.1500
Aug 22 2024,$134.6821,$134.7000
Aug 21 2024,$135.6463,$135.6800
Aug 20 2024,$135.4212,$135.4000
Aug 19 2024,$135.7949,$135.7400
Aug 16 2024,$134.9557,$134.9200
Aug 15 2024,$135.1940,$135.1500
Aug 14 2024,$132.7098,$132.7600
Aug 13 2024,$132.2204,$132.2600
Aug 12 2024,$130.3927,$130.3500
Aug 09 2024,$130.1941,$130.2200
Aug 08 2024,$129.6766,$129.6900
Aug 07 2024,$126.8684,$126.8800
Aug 06 2024,$128.0057,$128.1000
Aug 02 2024,$131.4996,$131.4700
Aug 01 2024,$134.0342,$133.9800
Jul 31 2024,$135.2309,$135.3000
Jul 30 2024,$133.5864,$133.6000
Jul 29 2024,$134.2988,$134.3000
Jul 26 2024,$133.9678,$133.9700
Jul 25 2024,$132.4295,$132.4300
Jul 24 2024,$132.9667,$132.9900
Jul 23 2024,$135.7709,$135.7700
Jul 22 2024,$135.7413,$135.8400
Jul 19 2024,$134.1418,$134.1600
Jul 18 2024,$134.8563,$134.9300
Jul 17 2024,$135.6308,$135.7600
Jul 16 2024,$137.3761,$137.3400
Jul 15 2024,$136.6459,$136.5400
Jul 12 2024,$135.8103,$135.6500
Jul 11 2024,$134.9816,$135.0500
Jul 10 2024,$136.0085,$136.0800
Jul 09 2024,$134.8403,$134.7900
Jul 08 2024,$134.7619,$134.8100
Jul 05 2024,$134.5542,$134.5100
Jul 04 2024,$133.5783,$133.6300
Jul 03 2024,$133.7943,$133.9300
Jul 02 2024,$133.5395,$133.5300
Jun 28 2024,$132.4679,$132.4600
Jun 27 2024,$133.5650,$133.4200
Jun 26 2024,$133.4169,$133.5300
Jun 25 2024,$132.8309,$132.8800
Jun 24 2024,$132.2716,$132.3300
Jun 21 2024,$133.0467,$133.1100
Jun 20 2024,$133.2022,$133.1600
Jun 19 2024,$133.8173,$134.0900
Jun 18 2024,$133.8956,$133.8400
Jun 17 2024,$133.6130,$133.5900
Jun 14 2024,$132.6631,$132.6600
Jun 13 2024,$132.5868,$132.7500
Jun 12 2024,$132.2215,$132.3000
Jun 11 2024,$131.4068,$131.3900
Jun 10 2024,$131.1803,$131.1400
Jun 07 2024,$130.7235,$130.7600
Jun 06 2024,$130.0522,$130.0200
Jun 05 2024,$130.2671,$130.2400
Jun 04 2024,$128.6008,$128.5900
Jun 03 2024,$128.0691,$128.0500
May 31 2024,$127.8641,$127.8300
May 30 2024,$127.2362,$127.2500
May 29 2024,$128.4244,$128.3300
May 28 2024,$128.6657,$128.6500
May 27 2024,$128.4545,$128.9200
May 24 2024,$128.7651,$128.7800
May 23 2024,$128.5547,$128.5100
May 22 2024,$129.0885,$129.0000
May 21 2024,$129.0726,$129.0400
May 17 2024,$128.2189,$128.2000
May 16 2024,$128.1000,$128.1100
May 15 2024,$128.2511,$128.3000
May 14 2024,$127.0989,$127.1300
May 13 2024,$126.7032,$126.7200
May 10 2024,$126.7005,$126.7900
May 09 2024,$126.5908,$126.5900
May 08 2024,$126.3837,$126.4300
May 07 2024,$126.3141,$126.4000
May 06 2024,$125.5961,$125.6400
May 03 2024,$124.4700,$124.4900
May 02 2024,$122.9179,$122.8500
May 01 2024,$122.5034,$122.5500
Apr 30 2024,$122.9745,$123.0600
Apr 29 2024,$124.0145,$124.0000
Apr 26 2024,$123.6201,$123.6700
Apr 25 2024,$122.3595,$122.4300
Apr 24 2024,$123.2003,$123.2900
Apr 23 2024,$122.9397,$122.9100
Apr 22 2024,$121.7730,$121.9500
Apr 19 2024,$121.1399,$121.1700
Apr 18 2024,$122.3311,$122.4100
Apr 17 2024,$122.6378,$122.7000
Apr 16 2024,$123.7939,$124.0000
Apr 15 2024,$123.7244,$123.8000
Apr 12 2024,$125.2427,$125.3100
Apr 11 2024,$126.1028,$126.1800
Apr 10 2024,$125.1450,$125.1300
Apr 09 2024,$125.4074,$125.4300
Apr 08 2024,$125.2988,$125.3700
Apr 05 2024,$125.3693,$125.4300
Apr 04 2024,$123.7046,$123.7000
Apr 03 2024,$125.0718,$125.1000
Apr 02 2024,$125.3287,$125.3200
Apr 01 2024,$126.1725,$126.2100
Mar 28 2024,$126.0594,$126.1300
Mar 27 2024,$126.3173,$126.3000
Mar 26 2024,$125.3722,$125.3900
Mar 25 2024,$125.7064,$125.7000
Mar 22 2024,$126.2743,$126.3800
Mar 21 2024,$126.1286,$126.0900
Mar 20 2024,$125.2591,$125.2900
Mar 19 2024,$124.9310,$124.8700
Mar 18 2024,$123.9695,$124.0100
Mar 15 2024,$123.2677,$123.2700
Mar 14 2024,$123.9900,$124.0000
Mar 13 2024,$123.7117,$123.7000
Mar 12 2024,$124.0974,$124.1200
Mar 11 2024,$122.6881,$122.7000
Mar 08 2024,$122.8678,$122.9400
Mar 07 2024,$123.3199,$123.3700
Mar 06 2024,$122.6373,$122.6800
Mar 05 2024,$122.6905,$122.6900
Mar 04 2024,$123.7734,$123.8400
Mar 01 2024,$123.7569,$123.7900
Feb 29 2024,$122.6933,$122.8700
Feb 28 2024,$122.2596,$122.2800
Feb 27 2024,$122.0701,$122.1100
Feb 26 2024,$121.6244,$121.6200
Feb 23 2024,$122.0315,$122.1100
Feb 22 2024,$121.8096,$121.8000
Feb 21 2024,$119.5028,$119.5000
Feb 20 2024,$119.5241,$119.4600
Feb 16 2024,$119.8690,$119.8700
Feb 15 2024,$120.3202,$120.3200
Feb 14 2024,$120.1820,$120.2600
Feb 13 2024,$119.2823,$119.2900
Feb 12 2024,$119.9134,$119.9200
Feb 09 2024,$120.0355,$120.0600
Feb 08 2024,$119.3716,$119.4000
Feb 07 2024,$119.3220,$119.3200
Feb 06 2024,$118.5609,$118.5500
Feb 05 2024,$118.6749,$118.8000
Feb 02 2024,$118.3719,$118.3800
Feb 01 2024,$116.5764,$116.5300
Jan 31 2024,$115.5349,$115.5300
Jan 30 2024,$117.0552,$117.1000
Jan 29 2024,$117.2389,$117.2500
Jan 26 2024,$116.6924,$116.6400
